author,text,likes,clean_text
@rob_al_honda,This was excellent.  I learned so much.  😊😊😊,0,excellent learned much smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes
@virid4074,learning C++ to make a custom game engine. Any help?,0,learning c make custom game engine help
@LeighCanto,Im practicing in DGB and I don't know if its recommend site,0,im practicing dgb dont know recommend site
@anurelish8164,™,0,trademark
@AlanBoss97,Learning new skill,0,learning new skill
@ShlokU-d1d,i just wanna say at 1:45-1:55 why do people say c++ is dead? PYTHON is built on C/C++,1,wan na say people say c dead python built cc
@Nobody_114,"Can we make the main program ""string main()"" and then return the string ""return ""this program worked"";"" ?",0,make main program string main return string return program worked
@Dr.FreeOfficial,"دهنت سرویس تو که ایرانی هستی😂
دمت گرم موفق باشی❤",0,facewithtearsofjoy redheart
@Cysco-n8k,"I was Here 2025 
I just started the journey",0,started journey
@jarekluberek8123,Fuck this. Way too slow.,0,fuck way slow
@jwhite3389,"The rush that I got from figuring out the operator exercise was very exciting! I didn't do it exactly as you did but I still got the correct answer. Thank you for these vids, Mosh. You taught me python and now c++ lol.",0,rush got figuring operator exercise exciting didnt exactly still got correct answer thank vids mosh taught python c lol
@simplegametutorials1341,"My Solution (I code by dissecting a problem into several readable steps then coding it)
```cpp
int main()
{
double x = 10;
double y = 5;
double resultX = x + 10;
double resultY = 3 * y;
double Result = resultX / resultY;
std::cout << Result;;
return 0;
}
```
My answer was: 1.3333%",0,solution code dissecting problem several readable steps coding cpp int main double x double double resultx x double resulty double result resultx resulty std cout result return answer
@NINJATH3ORY,May 15th 2025 dam tike flys been meaning to learn C++ since like forever as they say it's not to late!,0,may th dam tike flys meaning learn c since like forever say late
@aliencatface9412,Why do you add minimum value again at the end? I don't understand that. You already got 6 from Max-Min+1. then u add minVal again?,0,add minimum value end dont understand already got maxmin u add minval
@Geeno583,you are moving too fast,0,moving fast
